RMS,Peak_Amplitude,Num_Peaks,ZCR,Amplitude_Range,Spread_Ratio,IQR_Ratio,Spectral_Centroid_Hz,Low_Band_Ratio,High_Band_Ratio,Env_RMS,Env_Peak,Mean_Interval,Std_Interval,Waveform_Skew,Waveform_Kurt,Top1_Bin_Energy,Top1_Bin_Center,Top2_Bin_Energy,Top2_Bin_Center,Top3_Bin_Energy,Top3_Bin_Center,Top4_Bin_Energy,Top4_Bin_Center,Top5_Bin_Energy,Top5_Bin_Center,Top6_Bin_Energy,Top6_Bin_Center,Top7_Bin_Energy,Top7_Bin_Center,Top8_Bin_Energy,Top8_Bin_Center,Top9_Bin_Energy,Top9_Bin_Center,Top10_Bin_Energy,Top10_Bin_Center,Label
2570.2164219947845,2622.0,317,4623.620051362439,105.0,0.04085265449959247,0.0019455252918287938,2463.1708728545786,0.14477533063435605,0.855224669365644,2570.2204236117964,2622.002481145293,0.009437025316455697,0.008133054294907677,-0.16650124062510813,8.934330940162944,330223475.0377313,4950,308561063.9168261,1750,290693109.8218471,50,268647309.7891736,150,262254480.63947046,3550,243403059.46501657,1550,237521508.14182374,2250,218431923.34844172,1650,214414029.6329378,4550,213037707.466412,3350,0
2561.791673990731,2608.0,356,4542.724633812685,100.0,0.03903524097804489,0.00156128024980484,2463.0219105447554,0.1487103950865979,0.8512896049134021,2561.7956532036683,2608.0022339703996,0.008390704225352113,0.006951319526970299,0.025072249891891704,9.55547131668715,313150718.7905306,4950,292654053.89994675,1750,288373569.12934756,150,287041198.5357622,50,257253264.32243496,1550,247756964.5781377,3550,212593099.44036427,2250,208051186.19508222,3350,200347055.4180165,450,197460801.745722,3250,0
2560.379543894271,2612.0,353,4599.579733831427,103.0,0.04022847580166465,0.001953125,2461.8083075951627,0.14130389419912773,0.8586961058008723,2560.3836833590485,2612.0605864753547,0.008463920454545455,0.007134298515751524,0.07939235577391172,9.884149592878224,334513995.90304875,4950,319011322.5472467,50,309755535.35671115,1750,292780896.15635836,2250,269433821.1174607,150,250226271.7153695,1550,248449935.7550204,3550,240469930.0471167,1650,213442488.03938594,3350,211866695.6971894,650,0
2557.823891183564,2609.0,324,4592.034158382814,96.0,0.037531963727636085,0.001954652071931196,2452.4126092753204,0.14905002370727186,0.8509499762927281,2557.8279811664643,2609.0067795107248,0.00921826625386997,0.007051351281056786,0.26636697607400656,9.141871580562528,360720288.1495974,1750,352302640.3033712,4950,327567730.35947144,50,289924414.8489866,150,265826257.32586235,2250,251027203.92248547,3550,232160283.2337704,1550,208957703.01749262,3350,206802995.852149,350,197357697.46022564,3250,0
2562.3674606508466,2615.0,380,4504.669779853235,109.0,0.04253885672582097,0.00195160031225605,2475.4477264063235,0.15976844059014902,0.8402315594098511,2562.371745216801,2615.0088162927664,0.0078034300791556726,0.006008478078101958,-0.13293234125364842,10.76163658949245,541612726.10622,50,337336659.345495,4950,330410192.55000114,1750,281529009.06623435,3550,278884127.15830064,150,235521031.4171694,1550,222666363.681711,4850,216981395.84537694,1650,212818964.53923765,2250,210426196.08055884,3250,0
2560.7297084370434,2619.0,322,4567.41984936346,99.0,0.038660915211623716,0.001952362358453729,2459.0794974730015,0.1666226883730972,0.8333773116269028,2560.733694763659,2619.0004810440596,0.00930373831775701,0.007230063471414441,0.4644943265226779,8.838381258067797,536066336.8967809,50,337494088.9319335,4950,326672364.7483848,1750,288374338.51041466,150,259714629.46935612,1550,246063445.83031446,2250,229153134.65138623,3550,208357658.29678982,3350,206089208.6022017,1650,196156243.65028608,4750,0
2558.879211951641,2611.0,319,4521.608543300517,106.0,0.04142445052666328,0.0023446658851113715,2451.869964892012,0.13985169039524023,0.8601483096047596,2558.8832028057855,2611.019530283434,0.009401886792452829,0.007672059670301604,0.15275862955040723,9.12500667201902,373765372.5073626,1750,316611537.7522923,4950,259086868.345043,3550,256579173.47765458,150,244144164.35525197,50,242632501.3870113,1550,228110609.47648418,3350,223479244.54538542,2250,202985879.24588272,1650,190717625.241791,650,0
2560.215439499898,2611.0,361,4633.169852867581,110.0,0.042965204417382274,0.00234375,2469.6615486771375,0.1491255041142505,0.8508744958857496,2560.2196221951776,2611.003638484525,0.008255,0.006536200688813375,-0.3682706642139274,11.319838074267045,380903090.9414288,50,359633980.1674471,1750,348599651.4097936,4950,270970253.6608249,3550,263470765.28082633,150,249074605.8120625,3350,236534983.55657983,2250,235738827.482612,1550,214164395.48640528,3250,195853897.446931,3450,0
2561.464398113697,2619.0,340,4630.241168818173,110.0,0.042944251831888415,0.00195160031225605,2479.4465127397,0.1382888558415585,0.8617111441584414,2561.4684072821947,2619.000001193871,0.008782005899705014,0.0068184290087569275,-0.04128304278059095,10.886064646905746,331102175.2989625,1750,330725191.9465188,4950,272090902.83822346,50,270988866.01764655,3550,259922501.3045792,2250,253258800.57468045,150,235440296.3396023,1550,218279334.7325669,3350,214811685.08497667,1650,206970217.9551891,4850,0
2559.8622942009542,2609.0,318,4343.357062071718,101.0,0.039455307997605125,0.001953125,2462.3275472930495,0.18409271160695168,0.8159072883930483,2559.866228911689,2609.0002451286223,0.009447318611987382,0.007119398616367735,0.10456729844043826,7.697539977237243,737363412.0708827,50,332017135.8485906,4950,298202501.4841759,1750,250692115.2496102,150,239639556.3731624,3550,234815093.83737403,3350,227659679.42268473,1550,225766832.05370817,2250,209998279.5410314,1650,207952638.28199685,4850,0
