RMS,Peak_Amplitude,Num_Peaks,ZCR,Amplitude_Range,Spread_Ratio,IQR_Ratio,Spectral_Centroid_Hz,Low_Band_Ratio,High_Band_Ratio,Env_RMS,Env_Peak,Mean_Interval,Std_Interval,Waveform_Skew,Waveform_Kurt,Top1_Bin_Energy,Top1_Bin_Center,Top2_Bin_Energy,Top2_Bin_Center,Top3_Bin_Energy,Top3_Bin_Center,Top4_Bin_Energy,Top4_Bin_Center,Top5_Bin_Energy,Top5_Bin_Center,Top6_Bin_Energy,Top6_Bin_Center,Top7_Bin_Energy,Top7_Bin_Center,Top8_Bin_Energy,Top8_Bin_Center,Top9_Bin_Energy,Top9_Bin_Center,Top10_Bin_Energy,Top10_Bin_Center,Label
2567.9371507092346,2870.0,394,4478.687212327396,1149.0,0.44744738745819496,0.0019470404984423676,1397.521249856323,0.4285922108546896,0.5714077891453104,2567.9746252773148,2894.5303740944837,0.0075264631043257,0.006858034196287064,-29.578828296499196,1484.9914078308202,19566816774.124317,50,12553020531.506203,750,12232331615.326565,850,9473709287.849209,950,5686002693.697812,250,5645398866.378998,650,3844758440.8273387,550,3483193752.7210264,150,2441722147.0574455,450,1970625702.5495014,350,0
2568.527716737915,2908.0,384,4550.606747566342,1373.0,0.5345597840126828,0.0023355391202802647,1257.7570616518594,0.48615874591212643,0.5138412540878735,2568.586867827821,2928.5714421831335,0.00776892950391645,0.006961685568586525,-30.190921594902147,1424.5183833276822,40511687315.85619,50,24629101332.03813,750,16250906945.284285,850,11132228996.348335,950,8366209121.808805,650,7843295433.971083,550,6340719842.555056,250,6107048948.532441,150,3591730760.648626,450,1875038571.492921,350,0
2568.996549900465,2914.0,386,4310.494362532523,1508.0,0.5870178879162974,0.0019455252918287938,1204.157461271711,0.49631313120364845,0.5036868687963515,2569.0764916889993,2950.623733759254,0.007705194805194805,0.007263427263448125,-30.430483893964954,1387.3463729134285,62633471690.618546,50,27773871756.23442,750,24656504378.610073,850,17289298723.755375,950,10657450213.759073,650,7836976442.840912,550,7494724951.614662,150,7286962803.039733,250,3478359561.960136,450,2684376767.7983913,1050,0
2569.212279456281,2898.0,377,4499.248120300752,1357.0,0.5281897679798043,0.0019455252918287938,1276.520175212039,0.47619541156066286,0.5238045884393371,2569.272176563742,2927.894819064628,0.00790372340425532,0.006682808761648912,-30.24182901250182,1426.9457720492153,40967561541.168106,50,22608524016.21282,750,17798551013.643982,850,12414097283.988161,950,8590825460.101038,650,6733998771.7219095,550,6366305664.519891,250,6075700717.449053,150,3089280542.5454025,450,2202478465.1434913,350,0
2568.795745349013,2926.0,401,4463.350348647115,1525.0,0.5936817134019358,0.0019455252918287938,1212.9182816590153,0.5093755410876459,0.4906244589123542,2568.875010088416,2951.0705301240205,0.0074475,0.006866337724726332,-29.82428153938502,1331.5492096763198,63269518216.69585,50,30195908859.673954,750,22118848973.65493,850,15608535696.130413,950,9911780119.733524,650,9469586305.25158,550,7564021932.373874,150,6633270182.736469,250,3760462868.542054,450,1993288070.6340947,1050,0
2566.5255051498466,2945.0,441,4494.145902131492,1533.0,0.5973236285014065,0.002337358784573432,1206.8949240937463,0.5205646907757635,0.4794353092242365,2566.6030610598586,2963.3473119378814,0.006785454545454545,0.0068492014977678106,-30.081040669993477,1367.6222746664905,59949499844.49219,50,33427755431.405228,750,18962746525.339138,850,13303208040.694355,950,11695889367.3923,550,9646871067.279545,650,7423859798.638319,250,7156812265.454819,150,4672003920.169235,450,1937301951.5660548,350,0
2567.1067008811965,2910.0,387,4553.3689126084055,1426.0,0.5555029668743674,0.0019470404984423676,1237.4648277672738,0.48362391000136906,0.5163760899986309,2567.1704043096433,2944.235272799287,0.007720984455958549,0.007145519271751411,-31.608333275331283,1528.1822255280813,44498425971.46604,50,20900363647.376797,750,19154574263.73919,850,15244014606.769653,950,9396975420.03374,650,7137867724.902117,250,6384322231.410721,150,6371084470.943354,550,3566919736.7407846,450,2632383916.555809,350,0
2566.695380781229,2933.0,431,4441.258834511268,1497.0,0.5832570588288702,0.002337358784573432,1221.8623274545155,0.5118879001118535,0.4881120998881464,2566.7694431674013,2947.7647261917323,0.006943023255813954,0.006497182586136753,-29.95742056988588,1363.0579260661,57335050043.859726,50,28332548372.931274,750,19459686909.35736,850,15620796445.299679,950,9905796044.279148,550,8880188254.372566,650,6970503966.587114,150,6801525327.346969,250,4041528944.280952,450,2132572905.4289527,350,0
2567.1926786390927,2899.0,442,4527.389724268995,1411.0,0.549641253625193,0.0019470404984423676,1255.1257382259128,0.49271146995865,0.5072885300413501,2567.2563589326187,2928.920981118163,0.006722902494331067,0.006290369611729561,-30.489811085627863,1435.8025185237186,45309448080.76004,50,23923708168.479675,750,17830967707.345917,850,13541641856.431015,950,8752075419.673237,650,8091220111.893624,550,6928211045.80319,250,6063418987.910204,150,3673739572.331393,450,2134893863.4040964,350,0
2568.084937194794,2909.0,417,4584.083783603495,1463.0,0.5697012751007541,0.001946282600233554,1233.1802926267148,0.4939150030366961,0.506084996963304,2568.157364438807,2943.09605392364,0.007154567307692308,0.006940002376502052,-30.21984912549627,1394.1620806995809,54313737550.65507,50,27047113291.237175,750,20806495094.161507,850,16010623537.964771,950,9286117281.715813,650,8446172984.831214,550,6843691220.056008,250,6777534776.400583,150,3818491493.668993,450,2124683227.2768474,350,0
